t_s,util,mhz,ipc,iowait,ctxsw,temp,power,core0_util,core0_mhz,core1_util,core1_mhz,core2_util,core2_mhz,core3_util,core3_mhz,core4_util,core4_mhz,core5_util,core5_mhz,core6_util,core6_mhz,core7_util,core7_mhz,core8_util,core8_mhz,core9_util,core9_mhz,core10_util,core10_mhz,core11_util,core11_mhz,core12_util,core12_mhz,core13_util,core13_mhz,core14_util,core14_mhz,core15_util,core15_mhz
0.0,0.00,1117.5,1.108,0.00,0,48.0,-1.00,0.0,1202,0.0,1228,0.0,1097,0.0,1065,0.0,1034,0.0,966,0.0,1123,0.0,1158,0.0,1097,0.0,1065,0.0,1153,0.0,1005,0.0,1213,0.0,1102,0.0,1230,0.0,1141
1.0,8.83,1117.1,1.438,1.25,7737,59.0,14.54,3.0,909,2.0,400,2.0,400,0.0,400,18.0,3559,0.0,400,98.0,3800,0.0,400,2.0,400,0.0,400,5.1,890,0.0,400,4.1,962,2.0,400,2.0,2601,2.0,1554
2.0,8.54,1155.4,1.426,1.38,7645,60.0,14.35,2.0,400,1.0,400,3.1,2890,0.0,400,12.1,2337,0.0,400,23.8,400,77.0,3800,3.0,605,0.0,400,1.0,467,0.0,400,4.0,1203,3.0,1242,4.0,2533,2.0,610
3.0,8.48,1526.7,1.425,1.32,8262,62.0,14.65,3.0,727,1.0,400,5.0,3186,0.0,400,12.1,1557,0.0,400,0.0,400,100.0,3800,4.0,2803,0.0,400,3.0,3012,0.0,400,4.1,2433,3.0,2478,2.0,400,1.0,1632
3.9,8.29,1505.5,1.417,1.57,7561,62.0,14.27,2.1,3470,0.0,1173,6.1,3523,0.0,400,11.2,400,0.0,400,0.0,400,100.0,3800,3.0,1174,0.0,400,3.0,1666,0.0,400,3.0,2153,1.0,400,0.0,2064,2.0,2266
4.9,8.55,1537.9,1.389,1.45,7648,60.0,13.69,2.1,834,0.0,1060,5.0,2202,0.0,400,10.1,3304,0.0,400,0.0,400,100.0,3800,2.1,2949,0.0,400,4.0,1318,0.0,400,4.0,1600,2.0,2598,4.0,400,1.0,2540
5.9,8.22,1256.0,1.411,1.44,7108,62.0,13.76,2.0,1024,0.0,400,4.1,3051,0.0,400,11.0,1114,0.0,400,0.0,400,100.0,3800,2.0,2790,0.0,400,3.1,400,0.0,400,3.0,903,4.0,2250,2.0,1964,1.0,400
6.9,10.57,912.4,1.406,1.32,7877,62.0,14.94,3.1,399,2.0,952,3.0,3145,3.0,400,18.4,646,1.0,400,0.0,400,100.0,3800,6.0,400,4.0,400,7.0,400,1.0,400,6.1,426,6.0,1630,4.0,400,3.1,400
7.9,9.08,1345.8,1.286,1.46,10029,63.0,15.06,1.0,2593,1.0,783,6.1,866,1.0,400,8.2,2084,0.0,400,1.0,400,100.0,3800,6.5,2691,0.0,400,4.3,3700,1.0,400,4.0,399,5.1,400,3.0,400,4.0,1817
8.9,8.60,1062.7,1.325,0.44,8050,63.0,14.23,2.1,1141,0.0,400,4.0,2379,0.0,400,12.0,400,0.0,400,0.0,400,100.0,3800,3.2,3075,0.0,400,4.3,2208,1.0,400,3.0,400,3.0,400,1.0,400,2.0,400
9.9,8.25,1079.3,1.274,1.02,8486,63.0,14.31,1.0,840,0.0,400,5.1,2850,0.0,400,8.2,2164,0.0,400,0.0,400,100.0,3800,4.3,2149,0.0,400,6.4,399,0.0,400,3.0,400,1.0,400,1.0,400,2.0,1467
